student_roll_number,strategy_submission_number,symbol,timeframe,entry_trade_time,exit_trade_time,entry_trade_price,exit_trade_price,qty,fees,cumulative_capital_after_trade
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-10 10:15:00+05:30,2025-01-10 15:15:00+05:30,598.25,595.8,158,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-16 09:15:00+05:30,2025-01-16 15:15:00+05:30,575.15,575.0,164,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-17 10:15:00+05:30,2025-01-17 15:15:00+05:30,550.0,559.0,171,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-20 10:15:00+05:30,2025-01-20 15:15:00+05:30,552.65,553.85,173,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-21 10:15:00+05:30,2025-01-21 15:15:00+05:30,542.0,541.0,177,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-22 09:15:00+05:30,2025-01-22 15:15:00+05:30,540.2,534.95,177,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-24 10:15:00+05:30,2025-01-24 11:15:00+05:30,540.15,544.75,175,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-27 10:15:00+05:30,2025-01-27 15:15:00+05:30,523.9,524.0,182,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-28 11:15:00+05:30,2025-01-28 13:15:00+05:30,522.0,532.55,183,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-30 09:15:00+05:30,2025-01-30 15:15:00+05:30,546.75,544.6,178,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-01-31 10:15:00+05:30,2025-01-31 15:15:00+05:30,539.05,538.0,179,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-02-10 11:15:00+05:30,2025-02-10 15:15:00+05:30,550.6,543.1,175,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-02-13 10:15:00+05:30,2025-02-13 15:15:00+05:30,523.25,512.15,182,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-02-19 09:15:00+05:30,2025-02-19 15:15:00+05:30,475.05,476.0,196,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-02-20 10:15:00+05:30,2025-02-20 15:15:00+05:30,469.95,470.3,199,48,8.50509583994402e+38
23ME3EP03,1,NSE:VBL-EQ,60,2025-02-21 10:15:00+05:30,2025-02-21 13:15:00+05:30,464.6,475.0,201,48,8.50509583994402e+38
